Nk,rep,seed,N_vertices,nn_mean,nn_std,CV,hull_vol,time_s
10000,28,312373,418,0.286313567925503,0.25985410745571,0.907585726162033,237.77744374058,0.010088375
10000,29,312374,404,0.281630669965996,0.249752279091338,0.886807815077433,238.819644497251,0.0100525833333333
10000,30,312375,372,0.298121446322859,0.278641876135927,0.934658943772075,235.929562340045,0.0100450833333333
10000,31,312376,426,0.264699131362917,0.242406003708182,0.915779369807714,233.844671146628,0.0102405
10000,32,312377,420,0.257394127059784,0.234516864944805,0.911119719877427,235.175804087221,0.010260875
10000,33,312378,414,0.269704275569089,0.262089056573745,0.971764559611538,240.660038395187,0.00991229166666667
10000,34,312379,376,0.292766032618968,0.275251958135509,0.940177231877669,232.493842145841,0.0099085
10000,35,312380,410,0.291741276949587,0.277911689360711,0.952596397282288,237.505570974153,0.00989904166666667
10000,36,312381,404,0.276530785526458,0.268673182828675,0.97158507078037,234.636791957018,0.01016775
10000,37,312382,416,0.246166732565075,0.227478179879293,0.924081729114875,232.585269332869,0.0101070833333333
10000,38,312383,394,0.275348074629824,0.269905760284324,0.980234783363505,235.430577882711,0.00986158333333333
10000,39,312384,370,0.305831569008996,0.283605213860093,0.927324850011645,234.641175338686,0.009641125
10000,40,312385,396,0.271246299282615,0.240941688121399,0.888276406935819,236.123190409723,0.0100966666666667
10000,41,312386,396,0.292473818200279,0.249123390904258,0.85178014373124,231.423598196393,0.0100265
10000,42,312387,404,0.276665299054885,0.269091817530303,0.972625835077785,233.705405368691,0.0101896666666667
10000,43,312388,390,0.28812080912754,0.264430463645888,0.917776346826913,233.248649388269,0.0101815833333333
10000,44,312389,402,0.290641597525087,0.250503297443643,0.861897607144898,234.055837104514,0.0100579166666667
10000,45,312390,374,0.296900894003539,0.273613279608023,0.921564350711459,237.23625830303,0.00995754166666667
10000,46,312391,374,0.302306207308042,0.276854262711238,0.915807403283423,234.187597874772,0.009900625
10000,47,312392,362,0.312120059416073,0.268922578782889,0.861599793637105,237.801902689465,0.00972825
10000,48,312393,396,0.285904125255173,0.275281009169626,0.962843781718555,234.533000741269,0.00989025
10000,49,312394,394,0.289227975896921,0.260196985383361,0.899625925107928,236.59536573327,0.00999679166666667
10000,50,312395,402,0.282758629977689,0.240355335167769,0.850037133037227,234.536638037764,0.010069625
50000,1,412346,684,0.203719223565769,0.197884954737679,0.971361225877604,222.350723339988,0.0348355416666667
50000,2,412347,724,0.196118527579686,0.193393412960254,0.986104756888283,221.961125562719,0.0355806666666667
50000,3,412348,686,0.194863652924502,0.201283019807305,1.03294286433853,222.643332736653,0.0356704583333333
50000,4,412349,674,0.207365652238131,0.215349470390996,1.03850115998814,222.959369441015,0.03483925
50000,5,412350,716,0.192521465460411,0.201598825547422,1.04714985970683,222.539197086421,0.0354797083333333
50000,6,412351,734,0.198012876974426,0.196989373027101,0.994831124303813,223.65508887091,0.03559025
50000,7,412352,696,0.196174925463837,0.188689178580627,0.961841469466546,221.438127108202,0.0360270416666667
50000,8,412353,686,0.189119141852259,0.186484969868325,0.986071362432515,222.859801028926,0.0351645
50000,9,412354,684,0.197769098035119,0.19471756271616,0.984570211679797,221.120180690907,0.0356837916666667
50000,10,412355,720,0.185541598147162,0.184627085122214,0.995071115943377,222.015237269096,0.0348842083333333
50000,11,412356,722,0.187234953695948,0.177169057034136,0.946239222628495,221.105102620647,0.0351521666666667
50000,12,412357,670,0.202051545095997,0.189518587844681,0.937971485219969,222.268353769749,0.0345397083333333
50000,13,412358,718,0.196374003758081,0.199895953747975,1.0179349095221,221.294164936295,0.03519925
50000,14,412359,730,0.194809673926582,0.205794954821963,1.05638981203531,222.325165340598,0.035533375
50000,15,412360,702,0.188485958498004,0.187950970821143,0.997161657658088,221.865585867089,0.0354209166666667
50000,16,412361,722,0.197494475358038,0.186111857369167,0.942364878975803,221.507833677468,0.0353713333333333
50000,17,412362,726,0.199533274583144,0.188396536217834,0.944186059249632,222.439648536711,0.0355553333333333
50000,18,412363,698,0.199436357750136,0.195107008603157,0.978292076751606,223.27156686983,0.035243875
50000,19,412364,732,0.189835092979571,0.186418600129499,0.982002838376992,222.67382333581,0.0355862083333333
50000,20,412365,718,0.188493795383388,0.192272613620557,1.02004744097535,221.749973881666,0.0351801666666667
50000,21,412366,708,0.204639830666685,0.209330934574894,1.02292370890323,221.955189584613,0.0347015416666667
50000,22,412367,678,0.206815501405291,0.197886041269879,0.956824028785382,223.091697411817,0.034406125
50000,23,412368,686,0.2083438854252,0.20145748431995,0.966946948833196,222.030201464655,0.0352339166666667
50000,24,412369,706,0.201285576378788,0.197357684360306,0.980485973763512,222.399492146507,0.0363804166666667
50000,25,412370,730,0.195519275352341,0.183624090028847,0.939161060708423,221.134810809117,0.0356822083333333
50000,26,412371,734,0.198393155827395,0.192985036882399,0.972740395592573,223.770747584944,0.0350382083333333
50000,27,412372,660,0.201284678779316,0.200564672733457,0.996422946593727,222.788531792573,0.0349767083333333
50000,28,412373,692,0.196581334708558,0.192623585940823,0.979867118240891,221.081009049421,0.0352400416666667
50000,29,412374,688,0.203442854326408,0.19604815029588,0.963652181075559,221.777423528831,0.03520825
50000,30,412375,694,0.199156998275981,0.192964306742269,0.968905478655935,221.876800221157,0.0348871666666667
50000,31,412376,706,0.206069304161668,0.205822707783708,0.998803332796394,222.601149380434,0.0348238333333333
50000,32,412377,712,0.196067897444627,0.187909733940913,0.958391130776432,221.404805098283,0.0354002916666667
